product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
2.0,920.0,11.0,Giyim,Atlet,Atlet,1,2024-07-08,162,228.326049382716,227.26,0.18149410830294796,0.1822053346940833
2.0,28.0,15.0,Giyim,Forma,Forma,0,2025-05-26,162,1136.4273563218394,862.73,0.030518052220263707,0.020950596777645325
2.0,28.0,15.0,Giyim,Forma,Forma,2,2024-12-30,162,539.9274479166667,538.4,0.052948912218041204,0.06108290650594578
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,1,2024-08-19,162,1323.9076543209876,1454.53,0.061217354012565,0.024076087960281958
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-03-18,162,872.0538271604938,818.17,0.05294212959422039,0.0431651733187543
2.0,21.0,26.0,Giyim,Tişört,Tişört,2,2023-01-02,162,173.62299065420564,148.14,0.05617140571592077,0.05532498265081471
3.0,8.0,41.0,Aksesuar,Top,Futbol Topu,0,2023-06-26,162,394.1549411764706,422.88,0.0,0.0
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2024-10-21,162,2268.8248275862065,2090.91,0.017063988747615007,0.0055611648698207
3.0,913.0,31.0,Aksesuar,Ayk.Bakım Malzemeleri,Ayakkabı Bakım Ürünleri,0,2023-07-31,162,87.9958024691358,99.96,0.017863355460985116,0.016557068074385388
2.0,21.0,26.0,Giyim,Tişört,Tişört,2,2023-10-23,162,271.28424107142854,273.13750000000005,0.0890950481790475,0.07178435496654616
1.0,924.0,9.0,Ayakkabı,Terlik & Sandalet,Terlik,3,2025-08-04,161,1737.535081967213,1630.91,0.011664717291132094,0.00873249826860011
2.0,28.0,15.0,Giyim,Forma,Forma,0,2025-07-07,161,1790.104046242775,1545.44,0.023994402294753202,0.014983026507430709
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,2,2024-07-29,160,893.9463333333333,1063.55,0.009193143268275012,0.010370046089355529
1.0,924.0,10.0,Ayakkabı,Terlik & Sandalet,Sandalet,2,2023-06-12,160,457.57455357142857,462.87,0.0013333590771747088,0.0021274864050968823
2.0,23.0,22.0,Giyim,Polo Tişört,Polo Tişört,0,2024-09-23,160,653.1208139534883,545.44,0.04351281988323604,0.03997475818104733
2.0,29.0,24.0,Giyim,Şort,Şort,2,2025-07-07,160,769.786011904762,850.4449999999999,0.02739754246010353,0.03472108538503589
3.0,8.0,41.0,Aksesuar,Top,Futbol Topu,0,2024-04-01,160,687.4480487804877,708.25,0.0013481479817101258,0.0010703616502265065
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,1,2024-06-17,160,1569.4105,1727.26,0.02668415949586254,0.020882379088922615
