gonderen_depo;alan_magaza;urun;baslangic_depo_stok;ihtiyac_adet;karsilanan_adet;kalan_ihtiyac;depo_sevk_toplam;depo_kalan_nihai
STOK_YOK;2301;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;2401;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;1301;10001-3YOPond37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2401;10001-3YOPond37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2601;10001-3YOPond37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-3YOPond38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;201;10001-3YOPond38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-3YOPond38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-3YOPond38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1301;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1401;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1801;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;201;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;2701;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-3YOPond41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;1801;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;2001;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;2401;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;2701;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-3YOPond43-44;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;2001;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;2301;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;2401;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-3YOPond45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-6URQuartz36-37;0.000000;2;0;2;0;0.000000
STOK_YOK;1101;10001-6URQuartz36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1301;10001-6URQuartz36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1401;10001-6URQuartz36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;2301;10001-6URQuartz36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-6WCVarsity Red45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1401;10001-6WCVarsity Red45-46;0.000000;1;0;1;0;0.000000
